Context_Length,Model,Windows,Medicines,Samples,Total_Actual,Total_Predicted,Total_Absolute_Error,WAPE_Pct,MAE,sMAPE_Pct,MBE,P10_P90_Coverage_Pct
90,chronos-2-P50,406,76,12180,183044.0,30036.527867132303,181352.1775750858,99.07572910070027,14.88935960591133,190.3594827586207,-12.562241379310343,76.62573891625615
180,chronos-2-P50,406,76,12180,183044.0,37980.46471208477,178817.88968794883,97.69120522276002,14.681502463054187,189.75578817733992,-11.90987684729064,78.3168472906404
365,chronos-2-P50,406,76,12180,183044.0,37346.478315234184,177856.1989122033,97.16581746039384,14.602512315270936,189.28091133004926,-11.96179802955665,76.5352709359606
730,chronos-2-P50,406,76,12180,183044.0,41281.64023283124,177390.81951126456,96.91157290665882,14.564039408866995,186.65233990147786,-11.63884236453202,73.11167487684729
