Context_Length,Model,Medicines,Windows,Samples,Total_Actual,Total_Predicted,Total_Absolute_Error,WAPE_Pct,MAE,sMAPE_Pct,MBE,P10_P90_Coverage_Pct
730,chronos-2-P10,76,6,12180,183044.0,1424.232540011406,183208.50676119328,100.08987279626389,15.041379310344828,82.70935960591133,-14.911379310344829,73.11167487684729
365,chronos-2-P10,76,6,12180,183044.0,1566.2383432388306,183222.83324337006,100.09769959319621,15.042832512315272,76.40743842364532,-14.899556650246303,76.5352709359606
1095,chronos-2-P10,76,6,12180,183044.0,1268.9687972068787,183229.7306778431,100.10146777706075,15.043472906403942,83.87293103448275,-14.924113300492607,71.95379310344828
540,chronos-2-P10,76,6,12180,183044.0,1294.6979590654373,183285.32886469364,100.13184199683882,15.047758620689654,81.53224137931034,-14.921896551724139,73.70288177339901
1460,chronos-2-P10,76,6,12180,183044.0,1121.340639948845,183296.34784388542,100.13786184954733,15.048793103448277,85.19743842364532,-14.936305418719213,71.27270935960591
730,chronos-2-P20,76,6,12180,183044.0,5027.441449850798,182311.0920290649,99.59960011203039,14.967783251231527,137.36780788177342,-14.61551724137931,73.11167487684729
1095,chronos-2-P20,76,6,12180,183044.0,4707.492158830166,182445.41502398252,99.67298301172534,14.979285714285714,137.2781527093596,-14.641600985221674,71.95379310344828
365,chronos-2-P20,76,6,12180,183044.0,4782.220577597618,182511.3622429371,99.70901108090791,14.984729064039406,132.7065763546798,-14.63539408866995,76.5352709359606
540,chronos-2-P20,76,6,12180,183044.0,4614.206300288439,182571.34525480866,99.74178080396445,14.989334975369458,137.24522167487683,-14.649211822660098,73.70288177339901
1460,chronos-2-P20,76,6,12180,183044.0,4224.764270365238,182609.20629435778,99.76246492338333,14.992733990147782,140.65699507389164,-14.681108374384236,71.27270935960591
730,chronos-2-P30,76,6,12180,183044.0,10899.480276301503,180810.07700248063,98.77957048714005,14.845,169.16736453201975,-14.13334975369458,73.11167487684729
1095,chronos-2-P30,76,6,12180,183044.0,10499.697711795568,181043.97400596738,98.90735233384727,14.864113300492614,171.05985221674874,-14.166231527093595,71.95379310344828
1460,chronos-2-P30,76,6,12180,183044.0,9455.893811285496,181327.95641377568,99.06249667499381,14.887512315270936,173.77628078817736,-14.25192118226601,71.27270935960591
540,chronos-2-P30,76,6,12180,183044.0,9908.838850975037,181349.3965510726,99.07420978074812,14.888940886699507,168.993078817734,-14.214975369458127,73.70288177339901
365,chronos-2-P30,76,6,12180,183044.0,9747.241413116455,181396.38403213024,99.09987982787212,14.892635467980295,168.33123152709362,-14.228029556650245,76.5352709359606
730,chronos-2-P40,76,6,12180,183044.0,20825.56158156693,178820.472064808,97.69261601844804,14.681453201970442,182.62667487684732,-13.318275862068965,73.11167487684729
1095,chronos-2-P40,76,6,12180,183044.0,20113.250936590135,179376.5868325159,97.99643082128662,14.726995073891626,185.7625615763547,-13.376970443349753,71.95379310344828
365,chronos-2-P40,76,6,12180,183044.0,18421.65067446232,179560.66657710075,98.09699666588403,14.742438423645321,185.05076354679807,-13.515665024630543,76.5352709359606
540,chronos-2-P40,76,6,12180,183044.0,19008.533864200115,179650.8332258761,98.14625621483147,14.749507389162561,183.1143103448276,-13.467512315270938,73.70288177339901
1460,chronos-2-P40,76,6,12180,183044.0,18207.94861189276,179697.08949380368,98.17152678798742,14.753694581280788,187.20423645320196,-13.533399014778325,71.27270935960591
730,chronos-2-P50,76,6,12180,183044.0,41281.64023283124,177390.81951126456,96.91157290665882,14.564039408866995,186.65233990147786,-11.638842364532021,73.11167487684729
365,chronos-2-P50,76,6,12180,183044.0,37346.478315234184,177856.1989122033,97.16581746039384,14.602512315270936,189.28091133004926,-11.96179802955665,76.5352709359606
540,chronos-2-P50,76,6,12180,183044.0,38442.04944585264,178342.91834183037,97.43172042887522,14.642389162561575,188.01719211822663,-11.8720197044335,73.70288177339901
1460,chronos-2-P50,76,6,12180,183044.0,35885.60012938827,178615.50373046845,97.58063838774746,14.664482758620688,189.96426108374385,-12.081970443349755,71.27270935960591
1095,chronos-2-P50,76,6,12180,183044.0,38839.65988342464,178769.72561475635,97.66489238366532,14.677241379310344,189.5206157635468,-11.839285714285714,71.95379310344828
365,chronos-2-P60,76,6,12180,183044.0,82216.60037466884,183148.43884167075,100.05705668673693,15.036871921182266,185.41155172413792,-8.278128078817733,76.5352709359606
1460,chronos-2-P60,76,6,12180,183044.0,78314.85359352827,183716.10603255033,100.36718277165618,15.08344827586207,185.61610837438428,-8.59844827586207,71.27270935960591
730,chronos-2-P60,76,6,12180,183044.0,88117.72006219625,183810.9694391787,100.41900823800765,15.091157635467981,183.76923645320196,-7.793423645320197,73.11167487684729
540,chronos-2-P60,76,6,12180,183044.0,83969.76071576774,184261.92527540028,100.66537295699409,15.128399014778322,184.64312807881774,-8.134064039408866,73.70288177339901
1095,chronos-2-P60,76,6,12180,183044.0,81494.77495767921,185111.4284742847,101.12947076893244,15.197881773399015,185.2902709359606,-8.337118226600985,71.95379310344828
1460,chronos-2-P70,76,6,12180,183044.0,149044.59186829254,206366.95444877073,112.74172026877184,16.943103448275863,180.35490147783253,-2.7916995073891626,71.27270935960591
365,chronos-2-P70,76,6,12180,183044.0,155871.4631689489,207194.0965514481,113.19360183969324,17.011059113300494,180.74330049261084,-2.2310344827586213,76.5352709359606
540,chronos-2-P70,76,6,12180,183044.0,157328.3957721889,208707.39577919245,114.02034252922381,17.13497536945813,179.87012315270937,-2.1113546798029557,73.70288177339901
1095,chronos-2-P70,76,6,12180,183044.0,151188.77227142453,209008.0010317266,114.18456820858734,17.159729064039407,180.2123891625616,-2.615270935960591,71.95379310344828
